TICKER,OPEN,HIGH,LOW,CLOSE
A,31.473144654088053,31.8209037735849,31.056061635220104,31.460031446540878
AA,12.787075471698113,12.963261006289311,12.546302515723266,12.739996855345902
AAPL,237.96964743589737,240.40319551282053,234.47456602564094,237.67840641025643
ABC,29.627798742138367,29.9018962264151,29.265979874213823,29.618427672955974
ABT,51.148553459119476,51.488866037735846,50.67724402515726,51.11798742138364
ACE,52.50631578947369,53.02142982456141,52.03158070175437,52.567894736842106
ACS,61.76958333333334,62.344545833333335,61.32245833333332,61.785833333333336
ADBE,32.660791139240494,33.01496835443037,32.20696329113923,32.60430379746834
ADI,29.346446540880503,29.679921383647788,28.879157232704397,29.311257861635212
ADM,28.330503144654106,28.60069433962263,28.018031446540892,28.311666666666675
ADP,42.11668789808921,42.45085605095541,41.66805987261149,42.125700636942675
ADSK,28.221082802547777,28.630082165605103,27.801816560509565,28.229633757961775
AEE,25.595345911949693,25.80823647798744,25.344889937106924,25.604402515723248
AEP,34.07987421383649,34.34224402515721,33.75772641509436,34.095157232704395
AES,11.216729559748432,11.389530817610067,11.019792452830195,11.201383647798739
AET,30.15518301886792,30.595845911949684,29.689987421383645,30.142264150943397
AFL,49.027609433962255,49.6548358490566,48.22086540880503,48.99836477987424
AGN,61.42698113207545,62.021420754717,60.75391572327041,61.414779874213785
AIG,34.25135220125786,35.16570125786161,33.39560440251572,34.18232704402517
AIV,19.302955974842764,19.67018364779873,18.95448238993711,19.340314465408813
AIZ,34.21147798742139,34.62090880503145,33.815661635220124,34.260440251572334
AKAM,35.176962025316456,35.847800632911394,34.641501898734184,35.32091772151897
AKS,18.352853459119494,18.740183018867906,17.857844654088055,18.28058176100629
ALL,30.702138364779895,31.008930188679244,30.324010691823883,30.68962264150943
ALTR,24.739683544303794,25.094635443037973,24.36504873417721,24.78175632911392
AMAT,12.864367088607594,13.03122341772152,12.646359493670888,12.838177215189868
AMD,8.406540880503146,8.566374842767296,8.20397672955975,8.387389937106915
AMGN,56.150253164556915,56.71194177215189,55.57927025316456,56.18727721518988
AMP,41.71415094339621,42.267291194968564,41.114610691823884,41.74522012578614
AMT,43.345786163522035,43.812191823899376,42.83805408805031,43.358364779874215
AMZN,126.37840764331213,128.3346242038217,124.32801974522292,126.47619745222929
AN,19.91440251572327,20.22911194968555,19.607240251572325,19.932264150943393
ANF,38.16544025157233,38.79039182389936,37.44254716981131,38.15226415094339
AON,39.77830188679243,40.103223270440274,39.44797484276729,39.81553459119496
APA,98.29716918238988,99.46559119496855,96.84604779874213,98.26113207547174
APC,59.38767421383646,60.36525911949683,58.23601257861638,59.31723270440252
APD,73.08635220125785,73.8434113207547,72.32412327044025,73.12358490566041
APH,42.86386792452831,43.3327106918239,42.27792515723268,42.82974842767293
APOL,55.24198113207547,56.071505031446534,54.3900427672956,55.17590880503144
ARG,61.288490566037765,61.74701257861636,60.88415094339623,61.36383647798745
ATI,49.2053459119497,50.21742641509434,48.14107610062894,49.164276729559745
AVB,92.06006289308175,93.43849811320754,90.71752578616349,92.21971698113204
AVP,30.301446540880477,30.651194968553458,29.902075471698122,30.308364779874207
AVY,35.22603773584904,35.672535849056594,34.74874654088052,35.22257861635221
AXP,41.50641509433962,42.06716918238995,40.89831949685534,41.517484276729554
AYE,22.117672955974847,22.33724088050314,21.87508742138365,22.107672955974852
AZO,180.92654088050313,182.64228427672975,179.48630880503148,181.27962264150935
BA,66.17169811320753,66.97569937106917,65.27722767295604,66.19347484276733
BAC,15.987264150943407,16.202707547169805,15.71710754716981,15.947871069182392
BAX,50.663380503144666,51.0952886792453,50.1706924528302,50.63198113207547
BBBY,41.669779874213866,42.197026415094314,40.999532075471684,41.667893081761
BBT,29.26015723270441,29.687937735849054,28.83963773584907,29.27968553459121
BBY,39.02566037735848,39.507484905660355,38.48142201257863,38.992971698113195
BCR,81.87627106918241,82.45308176100629,81.16698742138368,81.83622641509432
BDK,70.33687499999999,71.12693749999998,69.55236458333333,70.515
BDX,74.3641509433962,74.89085220125784,73.705965408805,74.32446540880498
BEN,103.01597484276724,104.27015031446537,101.62142075471691,103.02471698113207
BF.B,57.23144654088051,57.7474283018868,56.68816792452832,57.29628930817611
BHI,45.908553459119496,46.6955182389937,45.074200000000005,45.905031446540875
BIG,34.15330188679245,34.57936289308177,33.680970440251585,34.17427672955976
BIIB,53.58601910828026,54.20446050955417,52.99050828025481,53.65765605095543
BJS,21.715124999999997,22.031937500000005,21.43306125,21.759375
BK,28.335628930817602,28.652138364779844,27.979905660377337,28.32477987421383
BLL,53.35270440251571,53.84683836477989,52.87187358490564,53.388113207547185
BMC,37.63096774193547,38.050079999999994,37.20626516129034,37.64922580645161
BMS,29.128301886792457,29.419500628930813,28.793435220125794,29.13194968553459
BMY,25.063144654088052,25.282795597484263,24.803305660377376,25.060754716981148
BNI,99.32827586206896,99.46724137931035,99.24068620689654,99.39482758620687
BRCM,33.28591772151899,33.762743670886096,32.7607987341772,33.284715189873424
BRK.B,78.3384297520661,79.01024380165288,77.52465371900828,78.37000000000005
BSX,6.999999999999998,7.098884276729562,6.8805893081761,6.99050314465409
BTU,44.59657232704406,45.40687924528302,43.69355534591195,44.570487421383675
BXP,74.60688679245284,75.6304867924529,73.5924943396227,74.71025157232704
C,3.9102830188679234,3.9668276729559726,3.837942767295597,3.897106918238996
CA,21.30704402515723,21.53486477987422,21.05722452830189,21.317940251572324
CAG,24.096635220125766,24.283577987421378,23.89570817610063,24.102830188679242
CAH,34.167232704402515,34.49191194968553,33.78647924528304,34.15437106918238
