Id,Income_base_type,Credit_purpose,Insurance_flag,DTI,Sex,Full_age_child_number,Education,Empl_type,Empl_size,Period_at_work,age,Empl_property,Empl_form,Family_status,Max_90_days,Avg_num_delay,If_zalog,Num_account_active_180,Active_to_all_prc,Num_account_active_all,Num_account_closed,Sum_of_paym_months,All_credits,Active_not_cc,Own_closed,Min_mnth_after_loan,Max_mnth_after_loan,Dlq_exist,Ninety_vintage
0,Форма банка (без печати работодателя),Ремонт,1.0,0.59,мужской,0,среднее-специальное,менеджер высшего звена,< 50,100.0,51.0,Транспорт,,,,,,,,,,,,,,,,,
1,2НДФЛ,Ремонт,1.0,0.55,мужской,0,высшее,специалист,>250,29.0,52.0,Другое,Государственное предприятие,женат / замужем,1.0,0.0224719101,0.0,0.0,0.5714285714,4.0,3.0,87.0,7.0,3.0,0.0,7.0,74.0,1.0,0.0
2,2НДФЛ,Ремонт,1.0,0.23,женский,1,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,>=50,,,,,,,,,,,,,,,,,,,,
3,Свободная форма с печатью работодателя,Покупка земли,0.0,0.32,мужской,0,второе высшее,менеджер среднего звена,< 50,63.0,57.0,Строительство,,,,,,,,,,,,,,,,,
4,Поступление зарплаты на счет,Ремонт,0.0,0.31,мужской,2,высшее,специалист,>250,106.0,34.0,Торговля,ОАО,женат / замужем,3.0,0.035971223,0.0,0.0,0.6666666667,4.0,2.0,134.0,6.0,2.0,1.0,13.0,91.0,1.0,0.0
5,Форма банка (без печати работодателя),Покупка автомобиля,0.0,0.22,мужской,1,второе высшее,менеджер среднего звена,>250,69.0,30.0,Информационные технологии,ЗАО,женат / замужем,1.0,0.28676470589999997,1.0,0.0,0.2727272727,4.0,7.0,194.0,11.0,2.0,1.0,19.0,98.0,1.0,0.0
6,2НДФЛ,Ремонт,1.0,0.12,мужской,0,высшее,менеджер высшего звена,>250,28.0,53.0,Производство,,,,,,,,,,,,,,,,,
7,Форма банка (без печати работодателя),Ремонт,0.0,0.44,мужской,0,высшее,менеджер среднего звена,>250,65.0,32.0,Строительство,,,,,,,,,,,,,,,,,
8,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.42,мужской,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,< 50,11.0,47.0,Другое,ООО,женат / замужем,3.0,0.0,1.0,0.0,0.3636363636,4.0,7.0,161.0,11.0,0.0,1.0,12.0,66.0,0.0,0.0
9,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,0.0,0.58,мужской,0,Высшее/Второе высшее/Ученая степень,специалист,>=50,,,,,,,,,,,,,,,,,,,,
10,Поступление зарплаты на счет,Ремонт,0.0,0.25,мужской,0,высшее,специалист,>250,91.0,34.0,Информационные технологии,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.5,1.0,1.0,87.0,2.0,0.0,1.0,33.0,85.0,0.0,0.0
11,2НДФЛ,Другое,1.0,0.46,женский,1,высшее,специалист,< 50,66.0,30.0,Транспорт,,,,,,,,,,,,,,,,,
12,Поступление зарплаты на счет,Ремонт,0.0,0.18,мужской,0,высшее,менеджер по продажам,>250,13.0,26.0,Торговля,ОАО,холост / не замужем,1.0,0.0102040816,0.0,0.0,0.3,3.0,7.0,97.0,10.0,1.0,1.0,9.0,41.0,1.0,0.0
13,Свободная форма с печатью работодателя,Покупка автомобиля,1.0,0.26,мужской,2,высшее,менеджер высшего звена,< 50,156.0,46.0,Строительство,,,,,,,,,,,,,,,,,
14,Поступление зарплаты на счет,Покупка автомобиля,1.0,0.47,мужской,0,высшее,специалист,>250,7.0,24.0,Информационные технологии,ООО,холост / не замужем,1.0,,,,,,,,,,,,,,
15,Форма банка (без печати работодателя),Ремонт,0.0,0.31,мужской,1,высшее,менеджер высшего звена,< 50,43.0,51.0,Торговля,ООО,женат / замужем,2.0,0.057851239699999994,1.0,1.0,0.3333333333,2.0,4.0,114.0,6.0,1.0,1.0,5.0,63.0,1.0,0.0
16,2НДФЛ,Покупка автомобиля,1.0,0.49,мужской,1,высшее,менеджер среднего звена,>250,44.0,28.0,Сельское и лесное хозяйство,ООО,гражданский брак,0.0,0.029411764700000002,0.0,0.0,0.3333333333,2.0,4.0,33.0,6.0,1.0,0.0,8.0,48.0,1.0,0.0
17,Поступление зарплаты на счет,Покупка недвижимости/ строительство,1.0,0.59,мужской,0,среднее-специальное,рабочий,>250,29.0,25.0,Другое,ООО,холост / не замужем,0.0,0.0303030303,0.0,0.0,0.3333333333,1.0,2.0,32.0,3.0,0.0,0.0,21.0,31.0,1.0,0.0
18,Форма банка (без печати работодателя),Ремонт,1.0,0.36,мужской,0,высшее,специалист,>250,21.0,30.0,Торговля,ООО,холост / не замужем,1.0,0.17757009350000005,0.0,0.0,0.4,2.0,3.0,88.0,5.0,0.0,2.0,16.0,34.0,1.0,0.0
19,2НДФЛ,Ремонт,1.0,0.47,женский,1,высшее,специалист,>250,29.0,38.0,Наука,,,,,,,,,,,,,,,,,
20,Форма банка (без печати работодателя),Покупка автомобиля,1.0,0.12,мужской,0,среднее-специальное,вспомогательный персонал,>250,12.0,46.0,Наука,,,,,,,,,,,,,,,,,
21,2НДФЛ,Отпуск,1.0,0.25,женский,0,высшее,специалист,>250,37.0,46.0,Другое,ООО,холост / не замужем,,,,,,,,,,,,,,,
22,Поступление зарплаты на счет,Ремонт,0.0,0.44,женский,0,высшее,специалист,>250,8.0,27.0,Другое,ООО,разведен / разведена,1.0,,,,,,,,,,,,,,
23,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,0.0,0.19,мужской,0,среднее-специальное,вспомогательный персонал,< 50,254.0,40.0,Другое,ООО,гражданский брак,1.0,0.0178571429,0.0,0.0,0.5,1.0,1.0,110.0,2.0,0.0,1.0,13.0,105.0,1.0,0.0
24,Свободная форма с печатью работодателя,Ремонт,0.0,0.32,женский,1,среднее-специальное,менеджер среднего звена,< 50,70.0,25.0,Другое,ООО,женат / замужем,1.0,0.0,0.0,0.0,0.5,1.0,1.0,10.0,2.0,0.0,0.0,15.0,26.0,0.0,0.0
25,Поступление зарплаты на счет,Ремонт,1.0,0.53,мужской,0,высшее,специалист,>250,38.0,31.0,Другое,ООО,холост / не замужем,5.0,0.0384615385,0.0,3.0,0.3636363636,4.0,7.0,50.0,11.0,3.0,3.0,0.0,35.0,1.0,0.0
26,Форма банка (без печати работодателя),Ремонт,1.0,0.45,мужской,0,высшее,менеджер среднего звена,< 50,7.0,27.0,Торговля,ООО,женат / замужем,2.0,0.0359281437,0.0,2.0,0.23076923079999997,3.0,10.0,161.0,13.0,1.0,2.0,2.0,34.0,1.0,0.0
27,Форма банка (без печати работодателя),Отпуск,1.0,0.17,мужской,0,высшее,специалист,>100,,,,,,,,,,,,,,,,,,,,
28,Поступление зарплаты на счет,Покупка недвижимости/ строительство,1.0,0.5,женский,1,незаконченное высшее,специалист,>250,53.0,46.0,Торговля,ООО,разведен / разведена,0.0,0.0215053763,0.0,1.0,0.2,1.0,4.0,91.0,5.0,0.0,3.0,4.0,43.0,1.0,0.0
29,Поступление зарплаты на счет,Ремонт,0.0,0.41,женский,0,высшее,специалист,>250,79.0,43.0,Транспорт,,,,,,,,,,,,,,,,,
30,Форма банка (без печати работодателя),Другое,0.0,0.16,мужской,0,среднее-специальное,рабочий,>=50,,,,,,,,,,,,,,,,,,,,
31,Форма банка (без печати работодателя),Ремонт,1.0,0.25,женский,1,высшее,специалист,>250,49.0,30.0,Торговля,ООО,женат / замужем,0.0,0.0,1.0,0.0,0.0,0.0,5.0,49.0,5.0,0.0,2.0,15.0,67.0,0.0,0.0
32,Поступление зарплаты на счет,Ремонт,0.0,0.55,женский,0,высшее,специалист,>250,48.0,31.0,Другое,ООО,женат / замужем,1.0,0.0,1.0,1.0,1.0,2.0,0.0,46.0,2.0,1.0,0.0,5.0,38.0,0.0,0.0
33,Поступление зарплаты на счет,Покупка земли,1.0,0.55,мужской,0,среднее-специальное,вспомогательный персонал,>250,7.0,42.0,Транспорт,,,,,,,,,,,,,,,,,
34,Поступление зарплаты на счет,Покупка недвижимости/ строительство,0.0,0.43,женский,1,высшее,менеджер среднего звена,>250,68.0,34.0,Торговля,ООО,разведен / разведена,1.0,0.0,0.0,0.0,0.5,2.0,2.0,54.0,4.0,0.0,1.0,26.0,68.0,0.0,0.0
35,Поступление зарплаты на счет,Ремонт,1.0,0.48,женский,0,высшее,специалист,>250,60.0,27.0,Другое,ООО,холост / не замужем,1.0,0.013333333300000002,0.0,0.0,1.0,2.0,0.0,74.0,2.0,1.0,0.0,33.0,39.0,1.0,0.0
36,Форма банка (без печати работодателя),Ремонт,1.0,0.59,женский,1,Высшее/Второе высшее/Ученая степень,специалист,>=50,,,,,,,,,,,,,,,,,,,,
37,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.18,мужской,0,высшее,менеджер среднего звена,>250,12.0,31.0,Сельское и лесное хозяйство,ООО,женат / замужем,2.0,0.0,1.0,0.0,0.5,1.0,1.0,7.0,2.0,0.0,0.0,6.0,94.0,0.0,0.0
38,Поступление зарплаты на счет,Ремонт,1.0,0.49,женский,0,среднее-специальное,вспомогательный персонал,>250,22.0,52.0,Торговля,ООО,женат / замужем,2.0,0.0196078431,0.0,2.0,0.5,3.0,3.0,50.0,6.0,1.0,0.0,5.0,30.0,1.0,0.0
39,Поступление зарплаты на счет,Покупка недвижимости/ строительство,1.0,0.55,мужской,1,высшее,специалист,< 50,68.0,38.0,Другое,ЗАО,женат / замужем,1.0,,,,,,,,,,,,,,
40,Поступление зарплаты на счет,Другое,1.0,0.33,женский,0,высшее,специалист,>250,33.0,27.0,Другое,ООО,холост / не замужем,1.0,0.0,1.0,0.0,0.3333333333,2.0,4.0,68.0,6.0,1.0,1.0,6.0,28.0,0.0,0.0
41,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.32,мужской,1,высшее,специалист,>250,57.0,29.0,Государственная служба,,,,,,,,,,,,,,,,,
42,Поступление зарплаты на счет,Отпуск,0.0,0.24,женский,1,незаконченное высшее,специалист,>250,39.0,27.0,Торговля,ООО,холост / не замужем,2.0,0.1515151515,0.0,1.0,0.2,1.0,4.0,28.0,5.0,0.0,0.0,3.0,70.0,1.0,0.0
43,Форма банка (без печати работодателя),Ремонт,0.0,0.33,женский,1,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,< 50,103.0,43.0,Строительство,,,,,,,,,,,,,,,,,
44,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,0.0,0.37,женский,0,Высшее/Второе высшее/Ученая степень,специалист,>250,50.0,34.0,Другое,ООО,холост / не замужем,2.0,0.0076335878,1.0,0.0,0.4,2.0,3.0,130.0,5.0,1.0,1.0,16.0,82.0,1.0,0.0
45,2НДФЛ,Ремонт,1.0,0.31,мужской,0,высшее,вспомогательный персонал,>250,82.0,53.0,Туризм,,,,,,,,,,,,,,,,,
46,2НДФЛ,Покупка недвижимости/ строительство,1.0,0.49,мужской,1,среднее-специальное,рабочий,>=50,,,,,,,,,,,,,,,,,,,,
47,Поступление зарплаты на счет,Ремонт,1.0,0.32,женский,0,высшее,специалист,>250,9.0,27.0,Строительство,,,,,,,,,,,,,,,,,
48,2НДФЛ,Покупка недвижимости/ строительство,1.0,0.45,женский,2,Высшее/Второе высшее/Ученая степень,специалист,>=50,,,,,,,,,,,,,,,,,,,,
49,2НДФЛ,Другое,1.0,0.41,мужской,0,Высшее/Второе высшее/Ученая степень,специалист,>=100,,,,,,,,,,,,,,,,,,,,
50,Свободная форма с печатью работодателя,Покупка автомобиля,1.0,0.49,женский,0,Высшее/Второе высшее/Ученая степень,специалист,>250,11.0,29.0,Производство,,,,,,,,,,,,,,,,,
51,2НДФЛ,Покупка недвижимости/ строительство,1.0,0.59,мужской,3,высшее,вспомогательный персонал,>250,13.0,38.0,Государственная служба,,,,,,,,,,,,,,,,,
52,Свободная форма с печатью работодателя,Ремонт,0.0,0.32,мужской,0,высшее,менеджер среднего звена,>250,65.0,31.0,Торговля,ООО,женат / замужем,0.0,0.21428571429999999,0.0,3.0,1.0,5.0,0.0,22.0,5.0,2.0,0.0,0.0,17.0,1.0,0.0
53,Форма банка (без печати работодателя),Ремонт,1.0,0.43,мужской,2,среднее-специальное,рабочий,>250,18.0,41.0,Торговля,ЗАО,женат / замужем,4.0,0.0533333333,0.0,0.0,0.6,3.0,2.0,71.0,5.0,1.0,1.0,8.0,73.0,1.0,0.0
54,2НДФЛ,Покупка недвижимости/ строительство,1.0,0.52,мужской,1,высшее,специалист,>250,63.0,28.0,Производство,,,,,,,,,,,,,,,,,
55,Форма банка (без печати работодателя),Другое,0.0,0.49,мужской,0,среднее-специальное,специалист,>100,,,,,,,,,,,,,,,,,,,,
56,Свободная форма с печатью работодателя,Ремонт,1.0,0.18,мужской,0,высшее,менеджер высшего звена,< 50,80.0,51.0,Строительство,,,,,,,,,,,,,,,,,
57,Поступление зарплаты на счет,Ремонт,1.0,0.52,женский,0,среднее,специалист,>250,6.0,37.0,Производство,,,,,,,,,,,,,,,,,
58,Форма банка (без печати работодателя),Ремонт,1.0,0.2,мужской,0,высшее,менеджер высшего звена,< 50,60.0,32.0,Торговля,ООО,женат / замужем,3.0,0.0,1.0,0.0,0.052631578899999996,1.0,18.0,254.0,19.0,0.0,3.0,12.0,103.0,0.0,0.0
59,2НДФЛ,Ремонт,1.0,0.39,мужской,0,среднее-специальное,рабочий,>250,77.0,26.0,Производство,,,,,,,,,,,,,,,,,
60,Поступление зарплаты на счет,Ремонт,1.0,0.59,женский,0,высшее,менеджер среднего звена,>250,27.0,41.0,Торговля,ООО,разведен / разведена,2.0,0.0,0.0,2.0,0.6666666667,2.0,1.0,11.0,3.0,1.0,0.0,1.0,10.0,0.0,0.0
61,Свободная форма с печатью работодателя,Ремонт,0.0,0.44,мужской,0,второе высшее,менеджер высшего звена,< 50,13.0,27.0,Торговля,ЗАО,женат / замужем,3.0,0.0406091371,0.0,0.0,0.7142857143000001,5.0,2.0,189.0,7.0,1.0,0.0,7.0,70.0,1.0,0.0
62,2НДФЛ,Ремонт,1.0,0.43,мужской,1,высшее,менеджер высшего звена,< 50,97.0,49.0,Другое,ООО,женат / замужем,1.0,0.0864864865,1.0,0.0,0.25,2.0,2.0,169.0,4.0,1.0,1.0,40.0,105.0,1.0,0.0
63,2НДФЛ,Ремонт,1.0,0.56,мужской,0,среднее-специальное,специалист,>250,54.0,42.0,Наука,,,,,,,,,,,,,,,,,
64,Форма банка (без печати работодателя),Ремонт,0.0,0.21,мужской,0,высшее,специалист,< 50,142.0,54.0,Другое,ООО,холост / не замужем,0.0,0.0,1.0,0.0,0.0,1.0,2.0,59.0,3.0,1.0,2.0,37.0,74.0,0.0,0.0
65,Свободная форма с печатью работодателя,Покупка автомобиля,1.0,0.49,женский,0,высшее,менеджер среднего звена,< 50,12.0,36.0,Транспорт,,,,,,,,,,,,,,,,,
66,2НДФЛ,Ремонт,1.0,0.5,мужской,1,высшее,менеджер среднего звена,>250,36.0,37.0,Торговля,ЗАО,разведен / разведена,0.0,0.0714285714,0.0,0.0,0.6,3.0,2.0,39.0,5.0,1.0,1.0,22.0,70.0,1.0,0.0
67,2НДФЛ,Ремонт,0.0,0.47,женский,2,высшее,менеджер среднего звена,>250,8.0,30.0,Финансы,,,,,,,,,,,,,,,,,
68,Поступление зарплаты на счет,Ремонт,1.0,0.55,мужской,0,высшее,специалист,>250,55.0,30.0,Производство,,,,,,,,,,,,,,,,,
69,,Покупка недвижимости/ строительство,0.0,,мужской,1,высшее,другое,,77.0,26.0,Финансы,,,,,,,,,,,,,,,,,
70,Форма банка (без печати работодателя),Покупка автомобиля,0.0,0.32,мужской,0,среднее-специальное,менеджер среднего звена,>250,61.0,26.0,Торговля,ЗАО,холост / не замужем,0.0,0.0,0.0,0.0,0.5,1.0,1.0,36.0,2.0,0.0,1.0,32.0,32.0,0.0,0.0
71,Форма банка (без печати работодателя),Другое,1.0,0.38,мужской,0,высшее,менеджер среднего звена,< 50,137.0,54.0,Торговля,ООО,женат / замужем,1.0,0.0178571429,1.0,0.0,0.3333333333,1.0,2.0,55.0,3.0,1.0,0.0,21.0,97.0,1.0,0.0
72,,Ремонт,0.0,,женский,1,второе высшее,другое,,40.0,35.0,Финансы,,,,,,,,,,,,,,,,,
73,Свободная форма с печатью работодателя,Покупка недвижимости/ строительство,1.0,0.28,мужской,2,высшее,менеджер среднего звена,< 50,22.0,33.0,Торговля,ООО,женат / замужем,0.0,0.03125,1.0,0.0,0.2857142857,3.0,4.0,124.0,7.0,2.0,1.0,7.0,44.0,1.0,0.0
74,Форма банка (без печати работодателя),Покупка автомобиля,1.0,0.4,женский,0,высшее,менеджер высшего звена,< 50,18.0,24.0,Торговля,ООО,холост / не замужем,4.0,0.0131578947,0.0,0.0,1.0,8.0,0.0,75.0,8.0,2.0,0.0,10.0,13.0,1.0,0.0
75,Поступление зарплаты на счет,Ремонт,1.0,0.18,мужской,0,среднее-специальное,рабочий,>250,27.0,31.0,Транспорт,,,,,,,,,,,,,,,,,
76,Свободная форма с печатью работодателя,Ремонт,0.0,0.59,мужской,1,среднее,вспомогательный персонал,< 50,33.0,44.0,Торговля,ООО,женат / замужем,0.0,0.3209876543,1.0,1.0,0.75,3.0,1.0,55.0,4.0,2.0,0.0,5.0,104.0,1.0,0.0
77,Форма банка (без печати работодателя),Ремонт,1.0,0.29,мужской,0,среднее,специалист,>250,364.0,51.0,Производство,,,,,,,,,,,,,,,,,
78,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,1.0,0.2,женский,1,высшее,менеджер среднего звена,< 50,44.0,40.0,Другое,ООО,холост / не замужем,1.0,0.061946902699999994,0.0,0.0,0.2,1.0,4.0,106.0,5.0,0.0,2.0,7.0,85.0,1.0,0.0
79,Поступление зарплаты на счет,Ремонт,1.0,0.59,мужской,0,высшее,вспомогательный персонал,>250,6.0,55.0,Другое,ЗАО,женат / замужем,3.0,0.0058823529,1.0,1.0,0.6666666667,4.0,2.0,169.0,6.0,0.0,1.0,2.0,85.0,1.0,0.0
80,Свободная форма с печатью работодателя,Ремонт,1.0,0.49,мужской,0,высшее,менеджер среднего звена,>250,14.0,48.0,Торговля,ООО,женат / замужем,2.0,0.0,1.0,3.0,0.8333333333,5.0,1.0,82.0,6.0,3.0,0.0,0.0,65.0,0.0,0.0
81,Форма банка (без печати работодателя),Ремонт,1.0,0.44,мужской,1,Высшее/Второе высшее/Ученая степень,вспомогательный персонал,< 50,28.0,36.0,Торговля,Индивидуальный предприниматель,женат / замужем,0.0,0.0930232558,0.0,0.0,0.3333333333,1.0,2.0,39.0,3.0,0.0,0.0,25.0,108.0,1.0,0.0
82,,Ремонт,0.0,,мужской,0,высшее,другое,,40.0,26.0,Финансы,,,,,,,,,,,,,,,,,
83,Форма банка (без печати работодателя),Ремонт,1.0,0.21,мужской,0,среднее,рабочий,>=100,,,,,,,,,,,,,,,,,,,,
84,Форма банка (без печати работодателя),Обучение,1.0,0.58,женский,0,Высшее/Второе высшее/Ученая степень,специалист,>250,106.0,52.0,Государственная служба,,,,,,,,,,,,,,,,,
85,2НДФЛ,Покупка автомобиля,1.0,0.53,мужской,2,высшее,менеджер среднего звена,>250,248.0,39.0,Государственная служба,,,,,,,,,,,,,,,,,
86,2НДФЛ,Покупка недвижимости/ строительство,1.0,0.25,женский,3,высшее,специалист,< 50,81.0,40.0,Торговля,ЗАО,женат / замужем,3.0,0.0,1.0,0.0,0.0,0.0,1.0,53.0,1.0,0.0,0.0,63.0,63.0,0.0,0.0
87,Свободная форма с печатью работодателя,Ремонт,0.0,0.3,мужской,0,высшее,менеджер по продажам,>250,20.0,25.0,Транспорт,,,,,,,,,,,,,,,,,
88,2НДФЛ,Покупка автомобиля,0.0,0.45,мужской,0,высшее,специалист,>250,47.0,28.0,Информационные технологии,ОАО,холост / не замужем,2.0,0.0,0.0,0.0,0.3333333333,1.0,2.0,29.0,3.0,0.0,0.0,21.0,38.0,0.0,0.0
89,2НДФЛ,Ремонт,1.0,0.49,мужской,0,высшее,менеджер среднего звена,>100,,,,,,,,,,,,,,,,,,,,
90,Поступление зарплаты на счет,Ремонт,1.0,0.51,женский,0,среднее-специальное,специалист,>250,51.0,41.0,Производство,,,,,,,,,,,,,,,,,
91,Свободная форма с печатью работодателя,Ремонт,1.0,0.44,мужской,1,среднее-специальное,рабочий,>=50,,,,,,,,,,,,,,,,,,,,
92,Форма банка (без печати работодателя),Ремонт,0.0,0.14,мужской,2,второе высшее,специалист,< 50,104.0,37.0,Торговля,ООО,женат / замужем,1.0,0.0,1.0,0.0,0.5,1.0,1.0,43.0,2.0,0.0,0.0,11.0,95.0,0.0,0.0
93,2НДФЛ,Ремонт,1.0,0.27,женский,0,Высшее/Второе высшее/Ученая степень,специалист,>=50,,,,,,,,,,,,,,,,,,,,
94,Форма банка (без печати работодателя),Ремонт,1.0,0.11,мужской,0,высшее,рабочий,>=150,,,,,,,,,,,,,,,,,,,,
95,Поступление зарплаты на счет,Ремонт,0.0,0.34,женский,0,высшее,специалист,>250,63.0,27.0,Другое,ООО,женат / замужем,2.0,,,,,,,,,,,,,,
96,Форма банка (без печати работодателя),Покупка автомобиля,1.0,0.03,мужской,3,высшее,менеджер высшего звена,>250,13.0,41.0,Финансы,,,,,,,,,,,,,,,,,
97,2НДФЛ,Ремонт,0.0,0.41,мужской,0,высшее,специалист,>250,59.0,36.0,Торговля,ООО,холост / не замужем,0.0,0.12162162160000001,1.0,0.0,0.5714285714,4.0,3.0,65.0,7.0,3.0,0.0,7.0,105.0,1.0,0.0
98,2НДФЛ,Ремонт,1.0,0.24,мужской,2,высшее,специалист,>250,73.0,54.0,Производство,,,,,,,,,,,,,,,,,
99,Свободная форма с печатью работодателя,Ремонт,1.0,0.37,женский,0,высшее,специалист,>250,72.0,35.0,Торговля,ООО,повторный брак,4.0,0.0331491713,1.0,3.0,0.5,6.0,6.0,175.0,12.0,2.0,0.0,0.0,78.0,1.0,0.0
100,Поступление зарплаты на счет,Ремонт,1.0,0.29,женский,0,среднее-специальное,рабочий,>250,117.0,50.0,Торговля,ОАО,разведен / разведена,0.0,0.0,0.0,0.0,0.5,1.0,1.0,29.0,2.0,0.0,0.0,23.0,44.0,0.0,0.0
101,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.52,мужской,0,высшее,рабочий,>250,174.0,45.0,Производство,,,,,,,,,,,,,,,,,
102,Форма банка (без печати работодателя),Ремонт,1.0,0.58,женский,0,среднее-специальное,специалист,< 50,134.0,50.0,Строительство,,,,,,,,,,,,,,,,,
103,2НДФЛ,Покупка автомобиля,0.0,0.47,мужской,2,высшее,рабочий,>=150,,,,,,,,,,,,,,,,,,,,
104,2НДФЛ,Ремонт,1.0,0.18,мужской,0,высшее,менеджер среднего звена,>=150,,,,,,,,,,,,,,,,,,,,
105,Форма банка (без печати работодателя),Обучение,1.0,0.49,женский,0,незаконченное высшее,вспомогательный персонал,>=200,,,,,,,,,,,,,,,,,,,,
106,2НДФЛ,Покупка автомобиля,1.0,0.51,мужской,0,высшее,торговый представитель,>250,19.0,28.0,Другое,ООО,женат / замужем,0.0,0.0377358491,0.0,1.0,0.42857142859999997,3.0,4.0,51.0,7.0,1.0,0.0,4.0,79.0,1.0,0.0
107,Поступление зарплаты на счет,Ремонт,1.0,0.32,мужской,3,высшее,менеджер высшего звена,>250,159.0,35.0,Финансы,,,,,,,,,,,,,,,,,
108,Поступление зарплаты на счет,Ремонт,0.0,0.4,женский,1,высшее,специалист,>250,31.0,26.0,Торговля,ООО,женат / замужем,1.0,0.0,0.0,1.0,0.5,1.0,1.0,10.0,2.0,1.0,1.0,2.0,13.0,0.0,0.0
109,Форма банка (без печати работодателя),Покупка мебели,1.0,0.51,мужской,2,среднее,специалист,< 50,94.0,34.0,Торговля,ООО,женат / замужем,0.0,0.0,1.0,0.0,0.6,3.0,2.0,121.0,5.0,1.0,1.0,24.0,115.0,0.0,0.0
110,Поступление зарплаты на счет,Ремонт,1.0,0.51,женский,0,высшее,специалист,>250,39.0,40.0,Производство,,,,,,,,,,,,,,,,,
111,Поступление зарплаты на счет,Отпуск,1.0,0.37,женский,0,высшее,менеджер среднего звена,>250,36.0,26.0,Торговля,ООО,холост / не замужем,1.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,9.0,9.0,0.0,0.0
112,Свободная форма с печатью работодателя,Ремонт,0.0,0.43,мужской,0,незаконченное высшее,специалист,>=50,,,,,,,,,,,,,,,,,,,,
113,Поступление зарплаты на счет,Ремонт,0.0,0.56,мужской,0,среднее-специальное,рабочий,>250,45.0,38.0,Торговля,ООО,холост / не замужем,0.0,0.0,0.0,1.0,1.0,3.0,0.0,22.0,3.0,2.0,0.0,5.0,28.0,0.0,0.0
114,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,1.0,0.13,мужской,3,среднее,менеджер высшего звена,>250,33.0,37.0,Торговля,ООО,повторный брак,2.0,0.0476190476,0.0,0.0,0.5,1.0,1.0,20.0,2.0,0.0,1.0,18.0,22.0,1.0,0.0
115,Форма банка (без печати работодателя),Покупка автомобиля,1.0,0.39,мужской,3,среднее-специальное,рабочий,< 50,76.0,41.0,Другое,ООО,женат / замужем,1.0,0.025,0.0,0.0,1.0,2.0,0.0,39.0,2.0,1.0,0.0,9.0,29.0,1.0,0.0
116,Поступление зарплаты на счет,Ремонт,0.0,0.49,женский,2,высшее,специалист,>250,85.0,29.0,Производство,,,,,,,,,,,,,,,,,
117,2НДФЛ,Ремонт,1.0,0.23,мужской,0,высшее,специалист,< 50,8.0,30.0,Торговля,ООО,холост / не замужем,4.0,0.037037037,0.0,0.0,0.0,0.0,3.0,26.0,3.0,0.0,0.0,30.0,74.0,1.0,0.0
118,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,1.0,0.04,мужской,2,высшее,специалист,>250,6.0,34.0,Наука,,,,,,,,,,,,,,,,,
119,2НДФЛ,Ремонт,1.0,0.57,мужской,0,высшее,менеджер среднего звена,>=150,,,,,,,,,,,,,,,,,,,,
120,Свободная форма с печатью работодателя,Покупка бытовой техники,0.0,0.44,женский,1,высшее,вспомогательный персонал,< 50,46.0,34.0,Юридические услуги,Иная форма,разведен / разведена,0.0,0.0,1.0,0.0,0.4,2.0,3.0,39.0,5.0,1.0,0.0,4.0,23.0,0.0,0.0
121,Форма банка (без печати работодателя),Ремонт,1.0,0.38,мужской,0,высшее,менеджер высшего звена,< 50,48.0,50.0,Строительство,,,,,,,,,,,,,,,,,
122,Форма банка (без печати работодателя),Отпуск,1.0,0.24,женский,2,среднее,менеджер высшего звена,< 50,161.0,35.0,Торговля,ООО,женат / замужем,1.0,0.0579710145,1.0,2.0,0.4,4.0,6.0,130.0,10.0,3.0,3.0,0.0,82.0,1.0,0.0
123,Форма банка (без печати работодателя),Ремонт,1.0,0.25,мужской,2,высшее,менеджер высшего звена,< 50,12.0,50.0,Транспорт,,,,,,,,,,,,,,,,,
124,Форма банка (без печати работодателя),Покупка автомобиля,1.0,0.24,мужской,0,среднее-специальное,специалист,>250,15.0,25.0,Производство,,,,,,,,,,,,,,,,,
125,2НДФЛ,Покупка автомобиля,0.0,,мужской,1,высшее,другое,,17.0,25.0,Финансы,,,,,,,,,,,,,,,,,
126,Поступление зарплаты на счет,Ремонт,1.0,0.54,мужской,1,высшее,специалист,>250,114.0,37.0,Информационные технологии,ОАО,повторный брак,1.0,0.012195122,1.0,0.0,0.5,4.0,4.0,162.0,8.0,2.0,4.0,12.0,106.0,1.0,0.0
127,2НДФЛ,Ремонт,0.0,0.47,женский,0,высшее,специалист,>=150,,,,,,,,,,,,,,,,,,,,
128,2НДФЛ,Ремонт,1.0,0.34,женский,0,среднее-специальное,специалист,>=50,,,,,,,,,,,,,,,,,,,,
