Id,Income_base_type,Credit_purpose,Insurance_flag,DTI,Sex,Full_age_child_number,Education,Empl_type,Empl_size,Period_at_work,age,Empl_property,Empl_form,Family_status,Max_90_days,Avg_num_delay,If_zalog,Num_account_active_180,Active_to_all_prc,Num_account_active_all,Num_account_closed,Sum_of_paym_months,All_credits,Active_not_cc,Own_closed,Min_mnth_after_loan,Max_mnth_after_loan,Dlq_exist,Ninety_vintage
1247,2НДФЛ,Ремонт,1.0,0.37,мужской,1,второе высшее,другое,>250,51.0,29.0,Государственная служба,,,,,,,,,,,,,,,,,
1248,Форма банка (без печати работодателя),Покупка автомобиля,1.0,0.59,женский,0,высшее,специалист,>=50,,,,,,,,,,,,,,,,,,,,
1249,Поступление зарплаты на счет,Ремонт,0.0,0.12,женский,0,высшее,специалист,>250,14.0,27.0,Торговля,ООО,женат / замужем,3.0,0.0,1.0,1.0,0.3333333333,1.0,2.0,33.0,3.0,1.0,1.0,0.0,38.0,0.0,0.0
1250,Поступление зарплаты на счет,Покупка автомобиля,0.0,0.43,мужской,0,среднее,рабочий,< 50,18.0,51.0,Торговля,ООО,женат / замужем,1.0,,,,,,,,,,,,,,
1251,Поступление зарплаты на счет,Ремонт,1.0,0.37,женский,0,высшее,менеджер среднего звена,>250,54.0,51.0,Другое,ЗАО,разведен / разведена,2.0,0.029239766099999998,1.0,1.0,0.44444444439999997,4.0,5.0,166.0,9.0,2.0,2.0,1.0,97.0,1.0,0.0
1252,Поступление зарплаты на счет,Ремонт,0.0,0.56,женский,0,высшее,специалист,>250,33.0,38.0,Другое,ООО,холост / не замужем,1.0,0.0,1.0,1.0,1.0,5.0,0.0,159.0,5.0,1.0,0.0,3.0,59.0,0.0,0.0
1253,Поступление зарплаты на счет,Ремонт,0.0,0.42,женский,0,среднее-специальное,рабочий,>250,126.0,44.0,Транспорт,,,,,,,,,,,,,,,,,
1254,2НДФЛ,Ремонт,0.0,0.56,женский,0,высшее,специалист,< 50,32.0,28.0,Другое,ООО,женат / замужем,1.0,0.15306122449999998,1.0,0.0,0.6,3.0,2.0,83.0,5.0,1.0,1.0,14.0,41.0,1.0,0.0
1255,Форма банка (без печати работодателя),Ремонт,1.0,0.35,мужской,1,высшее,менеджер высшего звена,>250,46.0,46.0,Торговля,ООО,женат / замужем,2.0,0.0,1.0,0.0,0.25,2.0,2.0,46.0,4.0,2.0,1.0,7.0,98.0,0.0,0.0
1256,Поступление зарплаты на счет,Покупка автомобиля,1.0,0.48,женский,1,высшее,вспомогательный персонал,>250,9.0,28.0,Торговля,ООО,женат / замужем,0.0,0.0833333333,0.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,1.0,11.0,11.0,1.0,0.0
